,Region,year,Happiness Score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,CountryNum
0,Central and Eastern Europe,2005,5.194,10.108,0.93,64.6,0.697,-0.161,0.903,0.675,0.29,208
1,Central and Eastern Europe,2006,5.4222,10.1532,0.9228,65.032,0.687,-0.159,0.8710000000000001,0.652,0.2636,208
2,Central and Eastern Europe,2007,5.155714285714285,9.859499999999999,0.8549285714285714,65.42107142857142,0.5928571428571429,-0.11471428571428573,0.9022142857142857,0.6337857142857143,0.2681428571428571,208
3,Central and Eastern Europe,2008,5.383666666666667,10.203000000000001,0.891,64.49333333333334,0.631,-0.22633333333333336,0.85,0.5896666666666667,0.23633333333333337,208
4,Central and Eastern Europe,2009,5.125307692307692,9.851153846153846,0.8393846153846154,66.03607692307693,0.5495384615384615,-0.13507692307692307,0.9016923076923077,0.5987692307692307,0.30553846153846154,208
5,Central and Eastern Europe,2010,5.179571428571428,9.89057142857143,0.8254285714285715,66.51442857142857,0.5911428571428571,-0.12371428571428571,0.9037857142857143,0.6037142857142858,0.30328571428571427,208
6,Central and Eastern Europe,2011,5.3026875,9.9456875,0.8424375000000001,66.5838125,0.6268125,-0.1186875,0.904875,0.60475,0.28925,208
7,Central and Eastern Europe,2012,5.3650625,9.953625,0.8439375,66.7606875,0.612125,-0.123875,0.9041875,0.6115,0.29781250000000004,208
8,Central and Eastern Europe,2013,5.33125,9.9731875,0.840375,66.936375,0.63675,-0.112,0.8888125,0.6340625,0.2926875,208
9,Central and Eastern Europe,2014,5.49075,9.9989375,0.8326875,67.1108125,0.645,-0.0329375,0.88225,0.63725,0.2763125,208
10,Central and Eastern Europe,2015,5.5045625,10.03425,0.8320625,67.2840625,0.6878125,-0.11737500000000001,0.861625,0.6484375,0.2689375,208
11,Central and Eastern Europe,2016,5.62825,10.0673125,0.8769375,67.6203125,0.7166875,-0.091875,0.8824375,0.6615,0.259375,208
12,Central and Eastern Europe,2017,5.7505625,10.1095625,0.8599375,67.95643749999999,0.7431875,-0.0950625,0.83675,0.649375,0.2508125,208
13,Central and Eastern Europe,2018,5.8980625,10.151625,0.8813125,68.2930625,0.75625,-0.1418125,0.8535,0.654875,0.248375,208
14,Central and Eastern Europe,2019,5.849066666666667,10.1586,0.8886666666666667,68.48493333333333,0.7894666666666666,-0.12040000000000001,0.8467333333333333,0.6495333333333334,0.2406,208
15,Central and Eastern Europe,2020,6.062200000000001,10.129133333333334,0.9028666666666666,69.04400000000001,0.8228666666666666,-0.018266666666666667,0.8303999999999999,0.6976666666666667,0.2846666666666666,208
16,CIS,2006,4.834727272727273,8.976272727272727,0.8184545454545454,61.13999999999999,0.6607272727272727,-0.21127272727272725,0.8177272727272729,0.5921818181818183,0.25027272727272726,152
17,CIS,2007,4.8873,9.1506,0.7849,61.42999999999999,0.6349,-0.1998,0.8364,0.5881000000000001,0.23159999999999997,152
18,CIS,2008,5.067333333333334,9.157222222222222,0.7718888888888888,61.75555555555555,0.6344444444444445,-0.15522222222222223,0.8236666666666667,0.5772222222222223,0.21966666666666665,152
19,CIS,2009,4.9022,9.1713,0.7901,62.07000000000001,0.604,-0.1748,0.8221,0.5747,0.2271,152
20,CIS,2010,4.9139,9.215399999999999,0.7993,62.39,0.6202,-0.1508,0.8163,0.5777,0.22890000000000002,152
21,CIS,2011,5.026454545454545,9.191272727272727,0.8113636363636364,62.77090909090909,0.6780909090909092,-0.16445454545454544,0.768,0.6060909090909091,0.22518181818181818,152
